Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
epo,layer3(0.9478588700294495),networkmonitoringtools(0.9412124156951904),siem(0.940487265586853),appliance(0.9289052486419678),obm(0.9283928275108337)
java,corejava(0.8614500164985657),j2se(0.8601175546646118),java j2ee(0.8330121040344238),advancedjava(0.8219932317733765),datastructure(0.8114486336708069)
python,django(0.8427000045776367),machinelearning(0.8418534994125366),scikit learn(0.8223019242286682),flask(0.8130930662155151),numpy(0.8109950423240662)
html,css(0.9166812300682068),javascript(0.9024704694747925),webtechnologies(0.8859378099441528),oopsconcept(0.8641021251678467),kotlin(0.8518826365470886)
css,codeigniter(0.9209318161010742),html(0.916681170463562),webdevelopment(0.8981571197509766),javascript(0.8974765539169312),materialdesign(0.8936495184898376)
burpsuite,kalilinux(0.9185501933097839),multithread(0.87978595495224),metasploit(0.8465502262115479),asicverification(0.8217968344688416),oscp(0.8186162114143372)
kalilinux,burpsuite(0.9185503125190735),multithread(0.9106611013412476),arduino(0.8863350749015808),metasploit(0.8661038279533386),excelvba(0.8606690764427185)
nmap,wireshark(0.9296339154243469),nessus(0.9132557511329651),ccna(0.8894675970077515),networkingdevices(0.8867102861404419),ciscopackettracer(0.8804019093513489)
metasploit,nmap(0.8781402111053467),kalilinux(0.8661038279533386),burpsuite(0.8465501666069031),verilog(0.8189601898193359),arm(0.814516544342041)
wireshark,ciscorouters(0.9368562698364258),nmap(0.9296339154243469),tcp(0.9108615517616272),udp(0.9086394906044006),tcp/ip(0.9046831130981445)
javascript,html5(0.9049551486968994),html(0.9024704098701477),codeigniter(0.9017124176025391),css(0.8974766731262207),webdevelopment(0.889283299446106)
php,css(0.8918921947479248),javascript(0.8802067041397095),codeigniter(0.8790514469146729),webdevelopment(0.8758565783500671),stylesheets(0.8734784722328186)
bash,pentahodi(0.9192143082618713),ksh(0.916202187538147),powershellscripting(0.9143900871276855),csh(0.8912487626075745),perlscripting(0.8790917992591858)
c,os(0.7629226446151733),c c(0.7567008137702942),octave(0.7469680309295654),implementingnewideas(0.741976261138916),r(0.7297549843788147)
arduino,kalilinux(0.886335015296936),arm(0.8558174967765808),raspberrypi(0.8283764123916626),linuxos(0.8248841166496277),excelvba(0.8167725205421448)
groovy,codecoverage(0.9007070064544678),grails(0.8885061740875244),automationtests(0.8107359409332275),cron(0.7594945430755615),orchestration(0.7589430809020996)
kotlin,flask(0.9384372234344482),firebase(0.9312863945960999),pythondjango(0.9145765900611877),mysqldatabase(0.9130529165267944),django(0.8951590657234192)
perl,shellscript(0.9007213115692139),ksh(0.8933223485946655),unixshell(0.8910263180732727),shell(0.8899279832839966),unix shell(0.8856362700462341)
aws,ec2(0.9413439631462097),s3(0.9385746717453003),awscloud(0.9108669757843018),amazonwebservices(0.9006868004798889),googlecloud(0.8989813327789307)
elasticsearch,kotlin(0.855993390083313),mysqldatabase(0.8501803278923035),flask(0.8307341933250427),mongodb(0.8302838802337646),nosql(0.8058114051818848)
mongodb,bootstrap4(0.8641289472579956),nodejs(0.8578229546546936),typescript(0.8548722267150879),elasticsearch(0.830284059047699),expressjs(0.827248215675354)
kafka,pig(0.9231533408164978),spark(0.9186257719993591),logstash(0.9149435758590698),hbase(0.9133266806602478),scala(0.9133012890815735)
docker,ci(0.9276468753814697),continuousintegration(0.9197208881378174),kubernetes(0.9158194065093994),cd(0.912375807762146),devops(0.8949242830276489)
vagrant,heroku(0.934723436832428),bashscripting(0.9309114813804626),deploymentenvironment(0.919223427772522),sensu(0.9177715182304382),image management(0.9172024726867676)
mysql,postgresql(0.8363080620765686),mysqldatabase(0.8076485991477966),oopsconcept(0.7949480414390564),non relationaldatabase(0.7937768697738647),relationaldatabases(0.7918470501899719)
tomcat,jboss(0.9514572620391846),webservers(0.9476083517074585),applicationserver(0.9406579732894897),apachetomcat(0.9367372393608093),weblogic(0.9294760227203369)
apache,tomcat(0.9053264856338501),apachetomcat(0.9024463295936584),applicationservers(0.8892931342124939),jboss(0.8803924918174744),webservers(0.8668622970581055)
linux,mcf(0.8729589581489563),macos(0.8091620206832886),unix linux(0.8066030740737915),fedora(0.8059750199317932),microsoftwindowsserver2003(0.8055580854415894)
c++,visualbasic(0.8604781031608582),c c(0.8421534895896912),xilinx(0.8378293514251709),pict(0.8276393413543701),octave(0.8245756030082703)
matlab,labview(0.8901014924049377),xilinx(0.8866435289382935),assemblylanguage(0.863798201084137),iar(0.857210636138916),octave(0.8476366996765137)
programming,programmingskills(0.8271397948265076),scriptinglanguages(0.8071752786636353),java(0.7896550893783569),javaee(0.7839390635490417),python django(0.7781174778938293)
octave,latex(0.9385300278663635),turbo c++(0.8658254742622375),verilog(0.8524541854858398),matlab(0.8476368188858032),prolog(0.8467697501182556)
